House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
"Kungsklippan 20, vån 2",Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,1,2,0,Yes,Yes,27,0,0,1900-1950,3127.00,6360.00,2024-05-29,2.70,0.21,2.49
"Tegnérgatan 15B",Luthagen,Uppsal,Lägenhet,Bostadsrätt,1,3,3,No,Yes,43.5,0,0,1900-1950,2668.00,6360.00,2024-05-29,2.00,0.31,1.69
"Stenkvistavägen 1",Söder,Eskilstun,Lägenhet,Bostadsrätt,3,1,9,Yes,Yes,71.5,0,0,1951-2000,3601.00,5897.00,2024-05-29,1.60,-0.15,1.74
"Krongårdsringen 28",Örnäset,Lule,Lägenhet,Bostadsrätt,1,2,3,No,Yes,49,0,0,1951-2000,4443.00,672.00,2024-05-29,0.80,-0.10,0.89
"Randgatan 8",Torpa,Jönköping,Lägenhet,Bostadsrätt,4,3,3,No,Yes,86.7,0,0,1951-2000,3512.00,6742.00,2024-05-29,2.60,-0.05,2.64
"Tantogatan 67, 5tr",SödermalmHögalid,Stockholm,Lägenhet,Bostadsrätt,2,5,10,Yes,No,42.5,0,0,1951-2000,2495.00,6360.00,2024-05-29,3.25,0.60,2.65
"Bjurholmsplan 17, 5 tr",SödermalmKatarina,Stockholm,Lägenhet,Bostadsrätt,1,5,0,Yes,Yes,25,0,0,2011-present,2808.00,6360.00,2024-05-29,2.45,0.70,1.75
"Kung Kristians väg 2E",Kungahusen,Trelleborg,Lägenhet,Bostadsrätt,2,2,3,No,Yes,62.5,0,0,1951-2000,5321.00,3048.00,2024-05-29,0.93,-0.03,0.95
"Bergkullevägen 281",Sylte,Trollhättan,Lägenhet,Bostadsrätt,2,1,3,No,Yes,65.5,0,0,1951-2000,4300.00,1124.00,2024-05-29,0.30,0.00,0.30
"Lundenvägen 19B",Lunden,Skövd,Lägenhet,Bostadsrätt,3,3,3,No,Yes,79,0,0,1951-2000,5124.00,2137.00,2024-05-29,1.20,0.00,1.20
"Smältverksgatan 106",Bäckby,Västerå,Lägenhet,Bostadsrätt,2,2,2,No,Yes,61,0,0,1951-2000,4497.00,2812.00,2024-05-29,0.70,-0.10,0.80
"Stamgatan 86",Östberga,Stockholm,Lägenhet,Bostadsrätt,4,0,0,No,Yes,85.5,0,0,2011-present,6000.00,6360.00,2024-05-29,2.30,0.00,2.30
"Solhagagatan 120",HisingsKärra,Göteborg,Lägenhet,Bostadsrätt,3,2,3,No,Yes,75.2,0,0,1951-2000,5675.00,6360.00,2024-05-29,2.25,-0.05,2.30
"Ystadsgatan 38A",Nobeltorget,Malm,Lägenhet,Bostadsrätt,1,2,4,No,No,40,0,0,1900-1950,2645.00,6360.00,2024-05-29,1.44,0.07,1.37
"Midgårdsvägen 46",Haninge,Haning,Lägenhet,Bostadsrätt,3,1,3,No,Yes,77.2,0,0,1951-2000,5398.00,3000.00,2024-05-29,1.90,-0.05,1.94
"Eskadervägen 40",NäsbyPark,Täb,Lägenhet,Bostadsrätt,2,1,8,Yes,Yes,58.5,0,0,1951-2000,3926.00,6360.00,2024-05-29,2.30,0.00,2.30
"Turbingränd 3",Kallhäll,Järfäll,Lägenhet,Bostadsrätt,2,1,6,Yes,Yes,56,0,0,1951-2000,3891.00,3000.00,2024-05-29,1.80,0.00,1.80
"Högenvägen 57",Kållered|Livered,Mölndal,Lägenhet,Bostadsrätt,3,2,2,No,Yes,86,0,0,1951-2000,5356.00,9951.00,2024-05-29,2.50,0.00,2.50
"Midsommarvägen 14",Midsommarkransen,Stockholm,Lägenhet,Bostadsrätt,2,1,3,No,No,37,0,0,1900-1950,2905.00,6360.00,2024-05-29,2.80,0.03,2.77
"Långhalsvägen 11, 3tr",Årsta,Stockholm,Lägenhet,Bostadsrätt,3,3,3,No,Yes,55,0,0,2011-present,6600.00,6360.00,2024-05-29,3.18,0.63,2.55
"Gustav III:s Boulevard 8",Frösunda,Soln,Lägenhet,Bostadsrätt,3,1,0,Yes,Yes,87.6,0,0,1951-2000,5338.00,8640.00,2024-05-29,4.20,0.34,3.86
"Bågevägen 29 D",Bosvedjan,Sundsvall,Lägenhet,Bostadsrätt,3,2,2,No,Yes,83,0,0,1951-2000,5436.00,3800.00,2024-05-29,0.75,-0.05,0.80
"Sysslomansgatan 17A",FrämreLuthagen,Uppsal,Lägenhet,Bostadsrätt,2,3,4,Yes,Yes,71.1,0,0,2011-present,2594.00,6360.00,2024-05-29,3.50,0.81,2.69
"Larsgatan 4A",Vellinge,Velling,Lägenhet,Bostadsrätt,1,2,3,No,Yes,39,0,0,1900-1950,2220.00,15300.00,2024-05-29,1.20,-0.02,1.22
"Storforsplan 5, 8tr",Farsta,Stockholm,Lägenhet,Bostadsrätt,3,8,14,Yes,Yes,75,0,0,1951-2000,5025.00,7600.00,2024-05-29,2.50,0.01,2.49
"Högalidsgatan 34C, Gårdshus",Hornstull,Stockholm,Lägenhet,Andelibostadsförening,4,3,3,No,Yes,93,0,0,1900-1950,5113.00,17103.00,2024-05-29,9.30,2.21,7.09
"Tegelviksgatan 79",SödermalmSofia,Stockholm,Lägenhet,Bostadsrätt,2,3,0,Yes,Yes,57,0,0,1951-2000,4630.00,3192.00,2024-05-29,4.95,0.90,4.05
"Bergavägen 70",ÅkersbergaCentralt,Österåker,Lägenhet,Bostadsrätt,4,3,3,Yes,Yes,98,0,0,2001-2010,7063.00,5872.00,2024-05-29,3.70,0.00,3.70
"Malmbergsvägen 10B",CentralaGällivare,Gällivar,Lägenhet,Bostadsrätt,3,1,3,No,Yes,81,0,0,1951-2000,5720.00,1800.00,2024-05-29,1.30,0.10,1.20
"Torggatan 11C",Perstorp,Perstorp,Lägenhet,Bostadsrätt,2,3,3,No,No,51,0,0,1900-1950,3878.00,7333.00,2024-05-29,0.23,-0.05,0.28
"Sköttmors Väg 19 F",Skräddarbacken,Borläng,Lägenhet,Bostadsrätt,4,2,2,No,Yes,102,0,0,1951-2000,5697.00,6360.00,2024-05-29,1.11,-0.03,1.13
"Köhlerplatsen 4",Ulricehamntätort,Ulricehamn,Lägenhet,Bostadsrätt,1,2,4,No,Yes,40.4,0,0,1951-2000,3294.00,2820.00,2024-05-29,0.70,-0.02,0.71
"Humblegatan 35",CentralaSundbyberg(LillaAlby),Sundbyberg,Lägenhet,Bostadsrätt,3,2,3,Yes,Yes,61,0,0,1951-2000,3683.00,6360.00,2024-05-29,3.70,0.36,3.34
"Skeppargatan 17 B",Strand,Arvik,Lägenhet,Bostadsrätt,2,2,2,No,Yes,64,0,0,1951-2000,4410.00,11000.00,2024-05-29,0.83,-0.04,0.86
"Långgatan 2",Skurup,Skurup,Lägenhet,Bostadsrätt,2,1,2,No,Yes,53,0,0,1900-1950,4840.00,2200.00,2024-05-29,1.20,0.08,1.12
"Nybodaringen 107",Liljeholmen/Nybodahöjden,Stockholm,Lägenhet,Bostadsrätt,4,1,4,Yes,Yes,95,0,0,1951-2000,6039.00,29080.00,2024-05-29,6.00,-0.25,6.24
"Mellangatan 21C",Timrå,Timr,Lägenhet,Bostadsrätt,3,4,4,No,Yes,81.5,0,0,1951-2000,4353.00,5799.00,2024-05-29,0.85,-0.08,0.93
"Aktergatan 22",HammarbySjöstad,Stockholm,Lägenhet,Bostadsrätt,2,2,4,Yes,Yes,45,0,0,2001-2010,4126.00,6360.00,2024-05-29,3.80,0.12,3.68
"Lidnersgatan 12A, Vån 5 av 6",Kungsholmen,Stockholm,Lägenhet,Bostadsrätt,2,5,6,Yes,No,39.5,0,0,1900-1950,3364.00,6200.00,2024-05-29,3.00,0.21,2.79
"Vasagatan 23",Vasastaden,Göteborg,Lägenhet,Bostadsrätt,4,1,5,No,Yes,126,0,0,"Before 1900s",4869.00,3500.00,2024-05-29,7.50,0.31,7.19
"Olivedalsgatan 15A",Linnéstaden,Göteborg,Lägenhet,Bostadsrätt,4,5,5,Yes,Yes,115,0,0,1900-1950,6728.00,5400.00,2024-05-29,7.50,0.00,7.50
"Häradsgatan 27",Bosgården,Mölndal,Lägenhet,Bostadsrätt,2,3,7,Yes,Yes,61,0,0,1951-2000,4278.00,4851.00,2024-05-29,2.40,-0.15,2.54
"Södra Hamngatan 5B",Kungshöjd,Göteborg,Lägenhet,Bostadsrätt,1,2,4,Yes,No,35,0,0,"Before 1900s",1743.00,6360.00,2024-05-29,3.13,0.25,2.88
"Rosendalsgatan 1 B Lgh 1201",Forsbacka,Gävl,Lägenhet,Bostadsrätt,2,3,3,No,Yes,54,0,0,2011-present,5064.00,6360.00,2024-05-29,0.55,0.00,0.55
"Rosenhöjdsvägen 28",Rosenlund,Södertälj,Lägenhet,Bostadsrätt,1,3,6,Yes,Yes,46,0,0,1951-2000,3682.00,5400.00,2024-05-29,1.00,0.02,0.98
"Bergsgatan 19C",Centrum,Sundsvall,Lägenhet,Bostadsrätt,3,2,7,Yes,Yes,80.4,0,0,1951-2000,4478.00,3653.00,2024-05-29,1.48,0.29,1.19
"Lech Walesas gata 49D",Ljusstaden,Kalma,Lägenhet,Bostadsrätt,3,2,2,No,Yes,81,0,0,2011-present,5407.00,2024.00,2024-05-29,1.45,-0.10,1.55
