,House_Name,Location,Municipality,House_type,Release_form,Rooms,Floor,Total_no_Floors,Lift,Balcony,Living_area,Plot_area,Other_area,Built_on,Charge,Operating_cost,Sold_date,Starting_price,Price_Change,Final_Price
551,"Åkerbyvägen 92, 10 Tr",TäbyCentrum,Täb,Lägenhet,Bostadsrätt,2,10,16,Yes,No,54.0,0.0,0.0,1951-2000,3356.0,3900.0,,2.4,0.06,2.34
552,Kullagatan 58,Centrum,Helsingborg,Lägenhet,Bostadsrätt,5,2,6,Yes,Yes,125.0,0.0,0.0,1900-1950,6382.0,9600.0,,4.3,0.0,4.3
553,Ågesta broväg 46,Farsta,Stockholm,Lägenhet,Bostadsrätt,2,3,4,Yes,Yes,43.0,0.0,0.0,2011-present,3423.0,4656.0,,2.25,0.13,2.13
554,Luthagsesplanaden 34 B,Luthagen,Uppsal,Lägenhet,Bostadsrätt,1,3,5,Yes,Yes,44.0,0.0,0.0,1900-1950,3008.0,4200.0,,2.1,-0.05,2.14
555,Majorsgatan 6,Östermalm,Stockholm,Lägenhet,Bostadsrätt,3,3,4,Yes,No,75.0,0.0,0.0,1900-1950,523.0,6360.0,,9.98,-0.14,10.11
556,Jarlvägen 6A,Hedslund,Rättvik,Lägenhet,Bostadsrätt,1,1,3,No,No,47.5,0.0,0.0,1951-2000,3385.0,6360.0,,0.52,-0.01,0.53
557,Storängsvägen 9A,Centralt,Österåker,Lägenhet,Bostadsrätt,1,3,3,No,No,39.3,0.0,0.0,1951-2000,3384.0,6600.0,,1.4,0.07,1.33
558,Sickla kanalgata 56,HammarbySjöstad,Stockholm,Lägenhet,Bostadsrätt,3,5,5,Yes,Yes,90.5,0.0,0.0,2001-2010,6292.0,5928.0,,9.0,0.11,8.89
559,Kabelgatan 15C,Majorna,Göteborg,Lägenhet,Bostadsrätt,4,3,4,No,Yes,103.0,0.0,0.0,1951-2000,6873.0,9156.0,,4.45,1.15,3.3
560,Kungsberget 4,Tannefors,Linköping,Lägenhet,Bostadsrätt,2,1,0,Yes,Yes,57.2,0.0,0.0,1900-1950,3514.0,4800.0,,1.3,0.31,0.99
