Municipality,Living_area,Built_on,House_type,Lift,Balcony,Final_Price
Skellefte,122.0,1951-2000,Villa,No,No,2.69
Valdemarsvik,94.0,1951-2000,Villa,No,No,1.8
Kungsback,105.0,1951-2000,Villa,No,No,5.45
Kristianstad,148.0,1951-2000,Villa,No,No,3.95
Osb,169.0,1951-2000,Villa,No,No,1.36
Kristianstad,94.0,1951-2000,Villa,No,No,1.59
Örebr,80.0,1900-1950,Villa,No,No,2.63
Karlstad,187.0,1951-2000,Villa,No,No,3.76
Bjuv,105.0,1900-1950,Villa,No,No,1.7
Karlshamn,80.0,1900-1950,Villa,No,No,0.92
Sandviken,116.0,1900-1950,Villa,No,No,2.08
Strängnä,103.0,1951-2000,Villa,No,No,2.6
Säffl,124.0,1900-1950,Villa,No,No,1.79
Linköping,90.0,1951-2000,Villa,No,No,1.84
Grästorp,101.0,1951-2000,Villa,No,No,1.45
Tyres,139.0,1951-2000,Villa,No,No,4.79
Olofström,140.0,1951-2000,Villa,No,No,1.05
Halmstad,176.0,1951-2000,Villa,No,No,4.29
Klippan,140.0,1951-2000,Villa,No,No,3.0
Nässj,107.0,1951-2000,Villa,No,No,1.63
Ume,98.0,2011-present,Villa,No,No,4.09
Hallstahammar,90.0,1951-2000,Villa,No,No,1.97
Kramfor,68.0,1900-1950,Villa,No,No,0.65
Sandviken,91.0,1951-2000,Villa,No,No,1.35
Sundbyberg,187.0,1900-1950,Villa,No,No,13.9
Halmstad,140.0,1951-2000,Villa,No,No,1.78
Kil,124.0,1951-2000,Villa,No,No,1.3
Eslöv,172.0,1951-2000,Villa,No,No,4.54
Smedjebacken,199.0,1951-2000,Villa,No,No,1.75
Ume,160.0,1900-1950,Villa,No,No,3.43
Stockholm,129.0,1900-1950,Villa,No,No,5.97
Sundsvall,54.0,1900-1950,Villa,No,No,0.27
Smedjebacken,99.0,1900-1950,Villa,No,No,1.3
Lund,171.0,1951-2000,Villa,No,No,4.75
Borå,202.0,1900-1950,Villa,No,No,8.14
Sigtun,153.0,2001-2010,Villa,No,No,5.44
Örebr,132.0,1900-1950,Villa,No,No,3.3
Mjölb,80.0,1951-2000,Villa,No,No,3.12
Hudiksvall,142.0,1951-2000,Villa,No,No,1.79
Ång,265.0,1900-1950,Villa,No,No,2.9
Uddevall,95.0,1900-1950,Villa,No,No,3.59
Jönköping,165.0,1951-2000,Villa,No,No,4.47
Borå,88.0,1951-2000,Villa,No,No,2.28
Trelleborg,115.0,1900-1950,Villa,No,No,2.69
Helsingborg,149.0,1951-2000,Villa,No,No,3.25
Uddevall,91.0,1900-1950,Villa,No,No,3.89
Eskilstun,140.0,1951-2000,Villa,No,No,3.6
Danderyd,191.0,1951-2000,Villa,No,No,16.6
Pite,114.0,1951-2000,Villa,No,No,1.07
Norrköping,107.0,1951-2000,Villa,No,No,2.39
Öcker,47.0,Before 1900s,Villa,No,No,2.15
Arbog,147.0,1951-2000,Villa,No,No,1.85
Älvkarleb,120.0,1951-2000,Villa,No,No,1.05
Nack,115.0,1900-1950,Villa,No,No,5.26
Färgeland,48.0,1951-2000,Villa,No,No,0.99
Sjöb,199.0,1900-1950,Villa,No,No,3.44
Pite,98.0,1900-1950,Villa,No,No,1.78
Alvest,126.0,1900-1950,Villa,No,No,1.59
Hudding,117.0,2001-2010,Villa,No,No,6.05
Halmstad,147.0,1951-2000,Villa,No,No,3.2
Hab,86.0,1951-2000,Villa,No,No,2.7
Örebr,72.0,1900-1950,Villa,No,No,1.26
Landskron,140.0,1951-2000,Villa,No,No,3.78
Vännä,120.0,1900-1950,Villa,No,No,1.58
Alingså,182.0,2001-2010,Villa,No,No,6.4
Laholm,105.0,2011-present,Villa,No,No,4.69
Arvik,74.0,Before 1900s,Villa,No,No,1.79
Örnsköldsvik,95.0,1900-1950,Villa,No,No,1.03
Täb,164.0,1951-2000,Villa,No,No,9.9
Nack,140.0,1900-1950,Villa,No,No,17.5
Varberg,142.0,1900-1950,Villa,No,No,6.75
Olofström,111.0,1951-2000,Villa,No,No,0.74
Velling,235.0,1951-2000,Villa,No,No,7.59
Kungälv,138.0,1900-1950,Villa,No,No,5.24
Helsingborg,166.0,1900-1950,Villa,No,No,5.14
Tomelill,250.0,1900-1950,Villa,No,No,8.0
Tierp,60.0,1900-1950,Villa,No,No,0.93
Järfäll,169.0,1951-2000,Villa,No,No,7.48
Linköping,90.0,1951-2000,Villa,No,No,2.19
Borå,79.0,1951-2000,Villa,No,No,2.69
Lund,184.0,1951-2000,Villa,No,No,11.6
Al,125.0,1951-2000,Villa,No,No,4.78
Hallsberg,115.0,1951-2000,Villa,No,No,1.99
Nor,110.0,1900-1950,Villa,No,No,1.94
Laholm,78.0,1900-1950,Villa,No,No,0.33
Västerå,150.0,1951-2000,Villa,No,No,5.04
Malm,129.0,1951-2000,Villa,No,No,6.19
Vännä,163.0,1951-2000,Villa,No,No,2.2
Vetland,140.0,1900-1950,Villa,No,No,3.04
Lindesberg,112.0,1951-2000,Villa,No,No,1.13
Lule,121.0,1951-2000,Villa,No,No,4.09
Al,113.0,1951-2000,Villa,No,No,3.59
Landskron,100.0,1951-2000,Villa,No,No,3.49
Mörbylång,167.0,1900-1950,Villa,No,No,3.7
Vänersborg,114.0,1951-2000,Villa,No,No,2.95
Trelleborg,124.0,1951-2000,Villa,No,No,2.14
Tros,100.0,1951-2000,Villa,No,No,3.74
Hj,109.0,1951-2000,Villa,No,No,1.6
Uddevall,169.0,Before 1900s,Villa,No,No,4.3
Nässj,193.0,1951-2000,Villa,No,No,2.3
Kungälv,168.0,1951-2000,Villa,No,No,4.7
Sollentun,133.0,2001-2010,Villa,No,No,10.15
Trollhättan,98.0,2001-2010,Villa,No,No,3.5
Västerå,105.0,1900-1950,Villa,No,No,5.3
Alingså,70.0,1900-1950,Villa,No,No,2.64
Kungsback,131.0,2011-present,Villa,No,No,5.7
Kävling,125.0,1951-2000,Villa,No,No,4.0
Grästorp,94.0,1900-1950,Villa,No,No,1.35
Enköping,175.0,2001-2010,Villa,No,No,3.8
Lund,129.0,1900-1950,Villa,No,No,4.8
Hudding,120.0,1900-1950,Villa,No,No,3.87
Göteborg,160.0,1900-1950,Villa,No,No,5.5
Sundsvall,168.0,1900-1950,Villa,No,No,1.98
Lule,115.0,1951-2000,Villa,No,No,2.82
Mark,85.0,1951-2000,Villa,No,No,1.65
Strängnä,179.0,1951-2000,Villa,No,No,5.38
Svalöv,114.0,1951-2000,Villa,No,No,2.68
Lule,63.0,2011-present,Villa,No,No,3.13
Lund,178.0,1951-2000,Villa,No,No,15.9
Söderhamn,145.0,1951-2000,Villa,No,No,1.96
Härnösand,125.0,1951-2000,Villa,No,No,1.02
Helsingborg,132.0,1951-2000,Villa,No,No,3.49
Gävl,84.0,1951-2000,Villa,No,No,3.88
Täb,117.0,1951-2000,Villa,No,No,6.89
Hudiksvall,153.0,1951-2000,Villa,No,No,2.4
Helsingborg,160.0,1951-2000,Villa,No,No,3.89
Sunn,60.0,1951-2000,Villa,No,No,1.35
Skurup,60.0,1900-1950,Villa,No,No,1.27
Lund,173.0,1951-2000,Villa,No,No,4.09
Lerum,94.0,1951-2000,Villa,No,No,3.9
Borå,125.0,1900-1950,Villa,No,No,3.94
Lidköping,130.0,1951-2000,Villa,No,No,3.25
Trollhättan,61.0,1951-2000,Villa,No,No,0.35
Linköping,220.0,Before 1900s,Villa,No,No,6.79
Karlskron,156.0,1951-2000,Villa,No,No,1.47
Hallstahammar,99.0,1951-2000,Villa,No,No,2.89
Gävl,148.0,2001-2010,Villa,No,No,14.05
Ljusdal,60.0,1951-2000,Villa,No,No,0.96
Lidköping,128.0,1951-2000,Villa,No,No,2.99
Forshag,95.0,1951-2000,Villa,No,No,1.58
Vänersborg,158.0,2001-2010,Villa,No,No,3.6
Stockholm,152.0,1900-1950,Villa,No,No,10.5
Tyres,168.0,1951-2000,Villa,No,No,5.59
Borå,105.0,1951-2000,Villa,No,No,1.97
Uppviding,140.0,1951-2000,Villa,No,No,1.7
Ystad,113.0,1951-2000,Villa,No,No,1.49
Hallsberg,173.0,1900-1950,Villa,No,No,1.53
Sundsvall,115.0,1951-2000,Villa,No,No,2.45
Uddevall,95.0,1951-2000,Villa,No,No,2.15
Västerå,134.0,1951-2000,Villa,No,No,2.77
Eskilstun,92.0,1900-1950,Villa,No,No,2.59
Mjölb,147.0,1900-1950,Villa,No,No,3.79
Gävl,107.0,1951-2000,Villa,No,No,0.99
Tibr,104.0,1951-2000,Villa,No,No,1.54
Stockholm,197.0,1900-1950,Villa,No,No,6.85
Ume,113.0,1951-2000,Villa,No,No,2.18
Kramfor,161.0,1900-1950,Villa,No,No,0.44
Finspång,100.0,1951-2000,Villa,No,No,1.2
Lekeberg,85.0,1900-1950,Villa,No,No,1.0
Nack,279.0,2011-present,Villa,No,No,21.0
Borå,103.0,1951-2000,Villa,No,No,2.55
Tjörn,77.0,1900-1950,Villa,No,No,11.5
Tidaholm,106.0,1951-2000,Villa,No,No,2.45
Täb,146.0,1951-2000,Villa,No,No,9.69
Täb,153.0,1951-2000,Villa,No,No,15.5
Höganä,110.0,1951-2000,Villa,No,No,6.0
Örebr,113.0,1951-2000,Villa,No,No,2.64
Norrtälj,116.0,2011-present,Villa,No,No,4.94
Härnösand,121.0,1951-2000,Villa,No,No,1.25
Örebr,45.0,1900-1950,Villa,No,No,1.17
Lidköping,57.0,1951-2000,Villa,No,No,1.36
Lule,144.0,2011-present,Villa,No,No,2.6
Uppsal,179.0,2001-2010,Villa,No,No,6.15
Botkyrk,136.0,2011-present,Villa,No,No,5.39
Kungsback,160.0,2011-present,Villa,No,No,3.5
Falköping,83.0,1951-2000,Villa,No,No,1.85
Boden,165.0,1951-2000,Villa,No,No,2.09
Hässleholm,168.0,1951-2000,Villa,No,No,3.5
Gävl,94.0,1951-2000,Villa,No,No,4.3
Eskilstun,101.0,1951-2000,Villa,No,No,3.5
Uddevall,93.0,1900-1950,Villa,No,No,2.48
Nässj,110.0,1951-2000,Villa,No,No,0.88
Herrljung,135.0,1951-2000,Villa,No,No,2.35
Härryd,114.0,1951-2000,Villa,No,No,7.7
Skövd,112.0,1951-2000,Villa,No,No,1.67
Danderyd,154.0,1900-1950,Villa,No,No,13.0
Ång,120.0,1951-2000,Villa,No,No,0.95
Lidköping,116.0,1900-1950,Villa,No,No,4.24
Linköping,180.0,1900-1950,Villa,No,No,4.09
Lesseb,103.0,1900-1950,Villa,No,No,0.73
Norrtälj,115.0,1900-1950,Villa,No,No,1.49
Smedjebacken,117.0,1951-2000,Villa,No,No,0.98
Ulricehamn,89.0,1951-2000,Villa,No,No,0.75
Linköping,122.0,1951-2000,Villa,No,No,4.64
Ulricehamn,80.0,1900-1950,Villa,No,No,2.74
Tierp,107.0,1900-1950,Villa,No,No,1.58
Haning,45.0,1951-2000,Villa,No,No,2.29
Sigtun,87.0,1951-2000,Villa,No,No,4.49
Timr,122.0,1951-2000,Villa,No,No,1.45
Järfäll,115.0,1900-1950,Villa,No,No,4.79
Boxholm,122.0,1951-2000,Villa,No,No,1.18
Malm,123.0,1951-2000,Villa,No,No,4.2
Falkenberg,79.0,2011-present,Villa,No,No,3.59
Klippan,78.0,Before 1900s,Villa,No,No,0.8
Motal,134.0,1900-1950,Villa,No,No,3.89
Vänersborg,110.0,1951-2000,Villa,No,No,2.29
Stockholm,66.0,1900-1950,Villa,No,No,5.1
Kungsback,186.0,2001-2010,Villa,No,No,7.73
Pite,100.0,1951-2000,Villa,No,No,1.73
Värmd,142.0,1951-2000,Villa,No,No,7.0
Göteborg,73.0,1900-1950,Villa,No,No,6.48
Vänersborg,129.0,1951-2000,Villa,No,No,3.25
Norrköping,153.0,2001-2010,Villa,No,No,3.19
Alvest,109.0,1951-2000,Villa,No,No,1.48
Sal,90.0,1900-1950,Villa,No,No,1.49
Bollnä,74.0,1951-2000,Villa,No,No,0.92
Linköping,158.0,1951-2000,Villa,No,No,4.59
Fal,125.0,1951-2000,Villa,No,No,3.54
Klippan,114.0,1951-2000,Villa,No,No,2.3
Linköping,110.0,1951-2000,Villa,No,No,1.74
Trollhättan,76.0,1900-1950,Villa,No,No,1.8
Nack,245.0,1951-2000,Villa,No,No,11.7
Linköping,160.0,Before 1900s,Villa,No,No,3.8
Halmstad,127.0,1951-2000,Villa,No,No,1.52
Älmhult,104.0,1951-2000,Villa,No,No,0.75
Hudiksvall,154.0,1900-1950,Villa,No,No,2.2
Österåker,145.0,1951-2000,Villa,No,No,7.14
Linköping,71.0,1900-1950,Villa,No,No,2.89
Karlskron,155.0,1951-2000,Villa,No,No,1.57
Järfäll,94.0,1951-2000,Villa,No,No,7.11
Österåker,190.0,1951-2000,Villa,No,No,5.34
Åtvidaberg,165.0,1900-1950,Villa,No,No,1.2
Svedal,157.5,1900-1950,Villa,No,No,6.0
Härryd,118.0,1951-2000,Villa,No,No,4.59
Halmstad,99.0,1951-2000,Villa,No,No,2.79
Halmstad,124.0,1951-2000,Villa,No,No,5.29
Alingså,65.0,1951-2000,Villa,No,No,1.12
LillaEdet,100.0,1900-1950,Villa,No,No,3.65
Pite,121.0,1951-2000,Villa,No,No,1.12
Velling,128.0,1951-2000,Villa,No,No,5.39
Örnsköldsvik,103.0,1951-2000,Villa,No,No,0.6
Uppsal,164.0,1951-2000,Villa,No,No,5.88
Velling,123.0,1951-2000,Villa,No,No,6.4
Kramfor,185.0,1900-1950,Villa,No,No,0.73
Gotland,152.0,1900-1950,Villa,No,No,1.7
Skellefte,100.0,1951-2000,Villa,No,No,1.84
Skellefte,112.0,1951-2000,Villa,No,No,0.82
Hofor,83.0,1900-1950,Villa,No,No,0.74
Linköping,181.0,1900-1950,Villa,No,No,6.09
Hässleholm,133.0,1951-2000,Villa,No,No,1.29
Kävling,128.0,2011-present,Villa,No,No,4.14
Linköping,96.0,1951-2000,Villa,No,No,4.5
Uddevall,104.0,1951-2000,Villa,No,No,2.94
Sollentun,150.0,1900-1950,Villa,No,No,9.7
Halmstad,111.0,1951-2000,Villa,No,No,1.68
Karlshamn,125.0,1900-1950,Villa,No,No,1.59
Skellefte,113.0,1951-2000,Villa,No,No,2.0
Örebr,84.0,1951-2000,Villa,No,No,2.14
Lule,102.0,1951-2000,Villa,No,No,2.59
Strängnä,105.0,1951-2000,Villa,No,No,2.61
Motal,81.0,1951-2000,Villa,No,No,0.92
Pite,98.0,1951-2000,Villa,No,No,0.8
Norrköping,94.0,1951-2000,Villa,No,No,3.25
Nack,117.0,1900-1950,Villa,No,No,12.39
Liding,198.0,1900-1950,Villa,No,No,26.4
Arbog,130.0,1951-2000,Villa,No,No,2.34
Liding,147.0,1951-2000,Villa,No,No,13.0
Gävl,92.0,1951-2000,Villa,No,No,2.17
Lund,232.0,Before 1900s,Villa,No,No,17.5
Staffanstorp,116.0,1900-1950,Villa,No,No,4.0
Täb,130.0,1951-2000,Villa,No,No,8.28
Täb,161.0,1951-2000,Villa,No,No,8.9
Hab,86.0,1951-2000,Villa,No,No,2.29
Vallentun,155.0,2011-present,Villa,No,No,8.34
Täb,151.0,1951-2000,Villa,No,No,5.49
Vetland,104.0,1951-2000,Villa,No,No,1.65
Oskarshamn,140.0,1951-2000,Villa,No,No,3.05
Tranem,126.0,1951-2000,Villa,No,No,1.8
Velling,141.0,1900-1950,Villa,No,No,3.7
Sal,86.0,1951-2000,Villa,No,No,1.59
Hylt,90.0,1951-2000,Villa,No,No,0.93
Sandviken,90.0,1951-2000,Villa,No,No,1.0
Sandviken,101.0,1951-2000,Villa,No,No,0.6
Ockelb,113.0,1951-2000,Villa,No,No,1.87
Ronneb,117.0,1951-2000,Villa,No,No,1.58
Örnsköldsvik,140.0,1951-2000,Villa,No,No,1.1
Tranå,139.0,1900-1950,Villa,No,No,0.55
Ängelholm,110.0,1900-1950,Villa,No,No,1.34
Klippan,145.0,1900-1950,Villa,No,No,2.29
Mölndal,178.0,1951-2000,Villa,No,No,9.8
Kungsback,22.0,2001-2010,Villa,No,No,2.0
Öcker,136.0,1900-1950,Villa,No,No,5.49
Järfäll,141.0,1951-2000,Villa,No,No,4.12
Karlskron,135.0,1900-1950,Villa,No,No,3.49
Trelleborg,243.0,1951-2000,Villa,No,No,4.5
Ljungb,91.0,1951-2000,Villa,No,No,1.67
Södertälj,185.0,1951-2000,Villa,No,No,2.99
Halmstad,158.0,1951-2000,Villa,No,No,4.25
Mark,104.0,1951-2000,Villa,No,No,1.7
Kristianstad,143.5,1951-2000,Villa,No,No,3.7
Al,122.0,1900-1950,Villa,No,No,4.69
Norrköping,70.0,1900-1950,Villa,No,No,1.99
Sundsvall,72.0,1951-2000,Villa,No,No,2.5
Uppsal,136.0,1951-2000,Villa,No,No,3.59
Falkenberg,98.0,1951-2000,Villa,No,No,1.56
Gävl,108.0,1951-2000,Villa,No,No,1.88
Skövd,108.0,1951-2000,Villa,No,No,3.59
Helsingborg,120.0,Before 1900s,Villa,No,No,3.9
Karlskron,131.0,1951-2000,Villa,No,No,2.8
Järfäll,133.0,1951-2000,Villa,No,No,4.68
Karlskron,94.0,1951-2000,Villa,No,No,1.44
Törebod,138.0,1951-2000,Villa,No,No,1.08
Katrineholm,90.0,1951-2000,Villa,No,No,1.44
Kävling,48.0,1900-1950,Villa,No,No,1.0
Övertorne,110.0,1900-1950,Villa,No,No,0.8
Sal,141.0,1951-2000,Villa,No,No,1.6
Kävling,168.0,2001-2010,Villa,No,No,6.38
Vårgård,184.0,2011-present,Villa,No,No,4.22
Hässleholm,132.0,1951-2000,Villa,No,No,0.97
Malm,146.0,2001-2010,Villa,No,No,6.5
Vänersborg,117.0,1951-2000,Villa,No,No,1.2
Hedemor,103.0,1951-2000,Villa,No,No,1.4
Borläng,123.0,1900-1950,Villa,No,No,3.0
Göteborg,90.0,1900-1950,Villa,No,No,2.58
Lidköping,70.0,1951-2000,Villa,No,No,0.85
Heb,131.4,1900-1950,Villa,No,No,1.4
Tyres,212.0,1951-2000,Villa,No,No,6.64
Alingså,200.0,1900-1950,Villa,No,No,4.89
Strängnä,72.0,1951-2000,Villa,No,No,2.19
Linköping,77.0,1951-2000,Villa,No,No,2.28
Nynäshamn,78.0,1951-2000,Villa,No,No,2.5
Hällefor,90.0,1951-2000,Villa,No,No,0.82
Al,113.0,1951-2000,Villa,No,No,3.39
Lomm,152.0,1951-2000,Villa,No,No,6.04
Göteborg,152.0,1951-2000,Villa,No,No,8.98
Stockholm,133.0,1951-2000,Villa,No,No,7.43
Simrishamn,83.0,1951-2000,Villa,No,No,1.65
Gävl,141.0,1900-1950,Villa,No,No,2.78
Fagerst,90.0,1951-2000,Villa,No,No,1.09
Sandviken,250.0,1900-1950,Villa,No,No,2.06
Liding,71.0,1900-1950,Villa,No,No,7.39
Tranem,108.0,1900-1950,Villa,No,No,1.45
Tranem,95.0,1951-2000,Villa,No,No,1.82
Gävl,186.0,1951-2000,Villa,No,No,3.85
Västerå,85.0,1951-2000,Villa,No,No,3.59
Stockholm,195.0,2001-2010,Villa,No,No,10.35
Norrköping,114.0,1951-2000,Villa,No,No,2.37
Helsingborg,116.0,1951-2000,Villa,No,No,3.99
Hagfor,172.0,1951-2000,Villa,No,No,1.4
Sal,189.0,2011-present,Villa,No,No,5.88
Sundsvall,111.0,1900-1950,Villa,No,No,2.0
Hagfor,200.0,1900-1950,Villa,No,No,2.09
Ystad,181.0,2011-present,Villa,No,No,7.39
Kristinehamn,97.0,1900-1950,Villa,No,No,1.19
Malm,131.0,1900-1950,Villa,No,No,3.79
Karlstad,107.0,1951-2000,Villa,No,No,1.54
Värmd,106.0,1951-2000,Villa,No,No,5.0
Bollnä,105.0,1951-2000,Villa,No,No,0.73
Gagnef,88.0,1951-2000,Villa,No,No,1.69
Mölndal,166.0,1951-2000,Villa,No,No,5.99
Halmstad,141.0,1951-2000,Villa,No,No,2.55
Eskilstun,115.0,1900-1950,Villa,No,No,2.19
Stockholm,288.0,1951-2000,Villa,No,No,10.75
Nyköping,109.0,1951-2000,Villa,No,No,2.1
Nack,190.0,2001-2010,Villa,No,No,11.5
Torsb,99.0,1951-2000,Villa,No,No,1.29
Ljusdal,151.0,1900-1950,Villa,No,No,1.29
Orus,119.0,1951-2000,Villa,No,No,2.8
Simrishamn,78.0,1900-1950,Villa,No,No,4.0
Heb,156.0,2001-2010,Villa,No,No,2.15
Hudding,98.0,1900-1950,Villa,No,No,5.79
Bollnä,177.0,1900-1950,Villa,No,No,3.05
Mölndal,111.0,1900-1950,Villa,No,No,5.04
Surahammar,117.0,1951-2000,Villa,No,No,1.82
Ystad,140.0,Before 1900s,Villa,No,No,6.5
LillaEdet,134.0,1951-2000,Villa,No,No,3.0
Staffanstorp,162.0,1951-2000,Villa,No,No,3.61
Uppsal,134.0,1951-2000,Villa,No,No,7.05
Sollentun,101.0,2011-present,Villa,No,No,7.84
Varberg,143.0,2011-present,Villa,No,No,0.8
Velling,220.0,2001-2010,Villa,No,No,11.09
Värmd,50.0,1951-2000,Villa,No,No,2.78
Tyres,143.0,1951-2000,Villa,No,No,6.77
Lekeberg,110.0,1900-1950,Villa,No,No,1.05
Haning,137.0,1951-2000,Villa,No,No,6.29
Falköping,50.0,1900-1950,Villa,No,No,0.44
Kävling,166.0,1951-2000,Villa,No,No,4.2
Sjöb,50.0,1951-2000,Villa,No,No,1.25
Uddevall,44.0,1951-2000,Villa,No,No,2.64
Pite,123.0,1900-1950,Villa,No,No,1.38
Mark,85.0,1951-2000,Villa,No,No,1.45
Västervik,75.0,1951-2000,Villa,No,No,1.58
Borläng,120.0,2011-present,Villa,No,No,2.74
Pite,5.0,1900-1950,Villa,No,No,2.14
Örebr,85.0,1900-1950,Villa,No,No,2.9
Uppsal,122.0,2001-2010,Villa,No,No,5.14
Torså,68.0,1900-1950,Villa,No,No,0.85
Norrtälj,76.0,2011-present,Villa,No,No,2.19
Torså,149.0,1951-2000,Villa,No,No,0.67
Nykvarn,175.0,1951-2000,Villa,No,No,4.39
Uppsal,63.0,1951-2000,Villa,No,No,1.94
Ljungb,76.0,2011-present,Villa,No,No,2.45
Ludvik,120.0,1900-1950,Villa,No,No,1.58
Växj,104.0,2011-present,Villa,No,No,1.0
Jönköping,87.0,1951-2000,Villa,No,No,1.7
Örebr,132.0,2001-2010,Villa,No,No,3.55
Lerum,118.0,1951-2000,Villa,No,No,3.73
Hudding,73.0,1951-2000,Villa,No,No,3.76
Filipstad,60.0,1900-1950,Villa,No,No,0.05
Kungälv,67.0,1951-2000,Villa,No,No,2.98
Tros,167.0,2011-present,Villa,No,No,5.1
Fal,126.0,1951-2000,Villa,No,No,3.04
Pite,175.0,1951-2000,Villa,No,No,2.1
Sölvesborg,98.0,1900-1950,Villa,No,No,0.78
Kali,80.0,1900-1950,Villa,No,No,0.29
Karlstad,140.0,1951-2000,Villa,No,No,2.56
Tingsryd,76.0,Before 1900s,Villa,No,No,2.3
Sundbyberg,120.0,1951-2000,Villa,No,No,7.7
Svedal,112.0,1951-2000,Villa,No,No,3.64
Uppsal,127.0,1951-2000,Villa,No,No,3.66
Tyres,165.0,1951-2000,Villa,No,No,5.62
Höganä,178.0,1951-2000,Villa,No,No,4.29
Uppsal,206.0,Before 1900s,Villa,No,No,5.8
Nybr,320.0,1900-1950,Villa,No,No,3.85
Katrineholm,80.0,1951-2000,Villa,No,No,0.98
Karlstad,114.0,2011-present,Villa,No,No,3.55
Trollhättan,80.0,Before 1900s,Villa,No,No,1.9
Eker,137.0,1951-2000,Villa,No,No,4.45
Karlskog,146.0,2011-present,Villa,No,No,5.03
Varberg,120.0,1900-1950,Villa,No,No,2.29
Örebr,15.0,2001-2010,Villa,No,No,0.49
Tyres,185.0,2011-present,Villa,No,No,8.38
Eskilstun,57.0,1951-2000,Villa,No,No,0.92
Norrköping,137.0,2001-2010,Villa,No,No,2.78
Norrtälj,121.0,2001-2010,Villa,No,No,4.05
Eslöv,121.0,2001-2010,Villa,No,No,3.89
Falköping,55.0,1900-1950,Villa,No,No,1.6
Örnsköldsvik,202.0,1951-2000,Villa,No,No,1.33
Liding,6.0,1900-1950,Villa,No,No,19.3
Örebr,145.0,1951-2000,Villa,No,No,4.3
Vaggeryd,965.0,2011-present,Villa,No,No,2.89
Lule,37.0,1951-2000,Villa,No,No,1.39
ÖstraGöing,180.0,2011-present,Villa,No,No,2.7
Sjöb,80.0,1951-2000,Villa,No,No,0.8
Alingså,82.0,1900-1950,Villa,No,No,2.45
Kalma,136.0,2011-present,Villa,No,No,5.08
Varberg,160.0,2011-present,Villa,No,No,4.5
UpplandsVäsb,134.0,1951-2000,Villa,No,No,4.73
Kungsback,95.0,2011-present,Villa,No,No,5.68
Upplands-Bro,124.0,2011-present,Villa,No,No,5.1
Ängelholm,82.0,1951-2000,Villa,No,No,2.07
Sjöb,91.0,1951-2000,Villa,No,No,2.29
Eker,182.0,2011-present,Villa,No,No,6.49
Ume,110.0,1900-1950,Villa,No,No,1.45
ÖstraGöing,140.0,2011-present,Villa,No,No,1.79
Uppsal,157.0,1951-2000,Villa,No,No,3.39
Göteborg,143.0,2001-2010,Villa,No,No,4.95
Askersund,97.0,1951-2000,Villa,No,No,1.8
Borläng,158.0,1951-2000,Villa,No,No,3.99
Lesseb,23.0,1900-1950,Villa,No,No,1.19
Karlshamn,138.0,1951-2000,Villa,No,No,1.52
Höör,145.0,2001-2010,Villa,No,No,3.49
Kungsör,156.0,1951-2000,Villa,No,No,1.97
Oxelösund,147.0,1951-2000,Villa,No,No,3.19
Kalma,160.0,2011-present,Villa,No,No,3.94
Hudding,120.0,2011-present,Villa,No,No,5.54
Lund,134.0,2011-present,Villa,No,No,5.95
Nynäshamn,98.0,Before 1900s,Villa,No,No,1.49
Västerå,103.0,1951-2000,Villa,No,No,1.74
Örnsköldsvik,133.0,2011-present,Villa,No,No,2.72
Skellefte,132.0,1951-2000,Villa,No,No,2.8
Trollhättan,174.0,2001-2010,Villa,No,No,5.4
Karlstad,139.0,1951-2000,Villa,No,No,2.72
Jönköping,209.0,2001-2010,Villa,No,No,5.09
Forshag,134.0,1900-1950,Villa,No,No,0.43
Gävl,30.0,1900-1950,Villa,No,No,1.97
Vänersborg,138.0,1951-2000,Villa,No,No,3.1
Torsb,91.0,1900-1950,Villa,No,No,0.15
Gällivar,117.0,1951-2000,Villa,No,No,1.95
Liding,76.0,2011-present,Villa,No,No,3.6
Söderköping,155.0,1951-2000,Villa,No,No,2.19
Värmd,148.0,1951-2000,Villa,No,No,4.75
Hylt,71.0,2011-present,Villa,No,No,0.22
Velling,180.0,1951-2000,Villa,No,No,5.18
Laholm,144.0,1951-2000,Villa,No,No,1.41
Strömsund,75.0,2011-present,Villa,No,No,0.5
Knivst,145.0,Before 1900s,Villa,No,No,4.19
Boden,169.0,2011-present,Villa,No,No,5.09
Örebr,124.0,1951-2000,Villa,No,No,3.27
Varberg,55.0,1951-2000,Villa,No,No,1.74
Österåker,120.0,2011-present,Villa,No,No,5.58
Trollhättan,90.0,1951-2000,Villa,No,No,2.2
Ljungb,87.0,1900-1950,Villa,No,No,2.59
Kungsback,136.0,1951-2000,Villa,No,No,7.5
Ume,137.0,1951-2000,Villa,No,No,6.94
Sjöb,185.0,1900-1950,Villa,No,No,1.19
Linköping,181.0,2001-2010,Villa,No,No,8.79
Haning,130.0,1951-2000,Villa,No,No,5.59
Sundsvall,118.0,1951-2000,Villa,No,No,2.25
Emmabod,148.0,1951-2000,Villa,No,No,1.45
Haning,163.0,1951-2000,Villa,No,No,5.38
Sundsvall,156.0,1900-1950,Villa,No,No,2.99
Kungsback,161.0,2011-present,Villa,No,No,8.4
Nynäshamn,168.0,2001-2010,Villa,No,No,3.99
Ludvik,121.0,1951-2000,Villa,No,No,2.4
Motal,120.0,1951-2000,Villa,No,No,2.69
