Municipality,Living_area,Built_on,House_type,Lift,Balcony,Final_Price
Haning,102.0,1951-2000,Lägenhet,No,Yes,1.8
Göteborg,59.2,1951-2000,Lägenhet,Yes,Yes,3.99
Stockholm,58.0,2011-present,Lägenhet,Yes,Yes,5.54
Norrtälj,78.0,1951-2000,Lägenhet,No,Yes,1.84
Göteborg,34.5,1951-2000,Lägenhet,No,No,1.05
Kalma,77.5,1951-2000,Lägenhet,No,Yes,1.18
Stockholm,83.0,1951-2000,Lägenhet,Yes,Yes,3.12
Kalma,75.5,1951-2000,Lägenhet,No,Yes,1.25
Malm,83.0,2011-present,Lägenhet,Yes,Yes,3.43
Härnösand,38.3,1951-2000,Lägenhet,No,Yes,0.24
Stockholm,186.0,1900-1950,Lägenhet,Yes,Yes,22.35
Avest,88.5,1951-2000,Lägenhet,No,Yes,0.9
Stockholm,41.0,Before 1900s,Lägenhet,No,Yes,5.33
Malm,73.0,2001-2010,Lägenhet,Yes,Yes,3.8
Hab,54.0,2011-present,Lägenhet,Yes,Yes,1.65
Lerum,32.1,2011-present,Lägenhet,Yes,Yes,1.25
Härnösand,93.5,1951-2000,Lägenhet,No,Yes,0.81
Göteborg,39.5,1900-1950,Lägenhet,No,Yes,1.56
Linköping,48.0,2011-present,Lägenhet,Yes,Yes,1.5
Soln,82.3,1951-2000,Lägenhet,Yes,Yes,2.46
Stockholm,75.0,2011-present,Lägenhet,Yes,Yes,5.79
Stockholm,53.0,2011-present,Lägenhet,No,Yes,2.92
Soln,93.0,2011-present,Lägenhet,Yes,Yes,5.4
Stockholm,86.0,2011-present,Lägenhet,Yes,Yes,5.98
Örebr,109.0,2001-2010,Lägenhet,Yes,Yes,1.97
Sundbyberg,86.0,2011-present,Lägenhet,Yes,Yes,4.0
Uppsal,111.0,1951-2000,Lägenhet,Yes,Yes,4.95
Soln,44.0,2011-present,Lägenhet,Yes,Yes,2.89
Lule,55.0,1900-1950,Lägenhet,No,Yes,1.54
Stockholm,165.0,1900-1950,Lägenhet,Yes,Yes,22.3
Södertälj,111.5,1951-2000,Lägenhet,Yes,Yes,2.25
Stockholm,115.0,2011-present,Lägenhet,No,Yes,12.89
Soln,65.0,2011-present,Lägenhet,No,Yes,4.27
Stockholm,43.0,1951-2000,Lägenhet,No,Yes,1.49
Malm,53.0,1951-2000,Lägenhet,Yes,Yes,1.62
Vänersborg,91.0,2011-present,Lägenhet,No,Yes,2.5
Ystad,76.6,2011-present,Lägenhet,No,Yes,2.24
Värmd,86.2,1951-2000,Lägenhet,No,Yes,2.25
Gävl,60.2,1951-2000,Lägenhet,No,Yes,1.54
Danderyd,65.0,1951-2000,Lägenhet,Yes,Yes,3.69
Vallentun,78.0,1951-2000,Lägenhet,No,Yes,2.14
Partill,66.1,1951-2000,Lägenhet,No,Yes,1.93
Lund,63.0,2001-2010,Lägenhet,Yes,Yes,2.39
Stockholm,97.0,1900-1950,Lägenhet,Yes,Yes,8.65
Värmd,47.0,2011-present,Lägenhet,Yes,Yes,2.57
Eskilstun,73.5,1951-2000,Lägenhet,Yes,Yes,1.63
Tros,66.0,1951-2000,Lägenhet,Yes,Yes,2.4
Uddevall,76.0,2011-present,Lägenhet,Yes,Yes,1.28
Stockholm,97.0,1900-1950,Lägenhet,No,No,5.14
Stockholm,65.0,1900-1950,Lägenhet,No,Yes,3.63
Stockholm,55.0,1900-1950,Lägenhet,No,No,2.78
Kalma,38.5,2011-present,Lägenhet,No,Yes,0.42
Göteborg,55.0,1951-2000,Lägenhet,No,Yes,3.3
Stockholm,89.0,2011-present,Lägenhet,Yes,Yes,9.62
Stockholm,39.0,1900-1950,Lägenhet,Yes,Yes,2.79
Arvik,66.4,1951-2000,Lägenhet,No,Yes,0.24
Göteborg,82.7,1951-2000,Lägenhet,No,Yes,2.48
Stockholm,72.0,1900-1950,Lägenhet,Yes,Yes,6.6
Haparand,66.0,1951-2000,Lägenhet,No,Yes,0.37
Soln,69.0,2011-present,Lägenhet,No,Yes,4.67
Botkyrk,74.5,1951-2000,Lägenhet,No,Yes,2.4
Svalöv,72.0,2011-present,Lägenhet,No,Yes,0.68
Soln,93.0,1951-2000,Lägenhet,Yes,Yes,4.19
Lomm,99.0,1951-2000,Lägenhet,Yes,Yes,5.7
Lund,67.0,1951-2000,Lägenhet,No,Yes,2.05
Göteborg,54.5,2011-present,Lägenhet,Yes,Yes,2.36
Stockholm,32.0,1951-2000,Lägenhet,Yes,Yes,1.67
Malm,59.0,1951-2000,Lägenhet,No,Yes,1.09
UpplandsVäsb,81.0,1951-2000,Lägenhet,Yes,Yes,2.72
Stockholm,111.0,2011-present,Lägenhet,No,Yes,5.39
Soln,45.0,1900-1950,Lägenhet,Yes,Yes,2.79
Göteborg,62.9,2011-present,Lägenhet,Yes,Yes,2.94
Malm,77.0,2001-2010,Lägenhet,Yes,Yes,5.39
Stockholm,81.0,1951-2000,Lägenhet,Yes,Yes,6.07
Haning,90.5,2011-present,Lägenhet,No,Yes,2.1
Stockholm,75.5,1951-2000,Lägenhet,No,Yes,2.5
Göteborg,53.5,2011-present,Lägenhet,Yes,Yes,2.9
Stockholm,37.5,2011-present,Lägenhet,Yes,Yes,2.1
Hammar,59.0,1951-2000,Lägenhet,No,Yes,0.8
Sigtun,70.5,1951-2000,Lägenhet,No,Yes,1.94
Stockholm,84.0,2011-present,Lägenhet,No,Yes,2.59
Täb,80.0,2011-present,Lägenhet,Yes,Yes,2.34
Timr,63.0,1951-2000,Lägenhet,No,Yes,0.42
Stockholm,25.0,2011-present,Lägenhet,No,Yes,1.82
Göteborg,56.5,1951-2000,Lägenhet,Yes,Yes,2.34
Tyres,81.0,2011-present,Lägenhet,Yes,Yes,3.44
Malm,26.1,1900-1950,Lägenhet,No,Yes,1.04
Stockholm,27.0,1900-1950,Lägenhet,No,No,1.79
Kalma,91.0,1951-2000,Lägenhet,No,Yes,1.46
Sundbyberg,49.0,1951-2000,Lägenhet,Yes,No,2.07
Hammar,74.0,1951-2000,Lägenhet,Yes,Yes,0.7
Malm,72.0,1900-1950,Lägenhet,No,Yes,2.82
Stockholm,74.0,1900-1950,Lägenhet,No,Yes,4.15
Liding,80.0,1951-2000,Lägenhet,Yes,Yes,3.8
Lund,108.0,2001-2010,Lägenhet,Yes,Yes,3.69
Trelleborg,59.0,1951-2000,Lägenhet,No,Yes,1.32
Soln,45.0,2011-present,Lägenhet,Yes,Yes,2.5
Sandviken,39.5,1900-1950,Lägenhet,No,Yes,0.4
Helsingborg,49.5,1951-2000,Lägenhet,Yes,Yes,0.9
Stockholm,44.0,1900-1950,Lägenhet,Yes,Yes,3.06
Malm,36.0,2011-present,Lägenhet,Yes,Yes,1.83
Västerå,110.0,1900-1950,Lägenhet,No,Yes,2.73
Göteborg,39.0,2011-present,Lägenhet,Yes,No,1.97
Stockholm,62.0,1951-2000,Lägenhet,Yes,Yes,1.65
Soln,81.0,2011-present,Lägenhet,No,Yes,4.04
Stockholm,57.0,2011-present,Lägenhet,Yes,Yes,3.75
Nack,37.0,1951-2000,Lägenhet,Yes,Yes,1.6
Uppsal,97.0,1900-1950,Lägenhet,Yes,Yes,4.5
Norrtälj,63.0,2011-present,Lägenhet,Yes,Yes,2.3
Göteborg,81.0,1900-1950,Lägenhet,No,No,5.5
Uppsal,48.0,2011-present,Lägenhet,Yes,Yes,1.79
Uddevall,56.5,1951-2000,Lägenhet,No,Yes,1.25
Västerå,45.2,1900-1950,Lägenhet,No,No,0.9
Malm,78.5,2011-present,Lägenhet,Yes,Yes,2.74
Trollhättan,81.5,1951-2000,Lägenhet,Yes,Yes,1.5
Örebr,66.5,2011-present,Lägenhet,No,Yes,1.25
Sundbyberg,102.0,2001-2010,Lägenhet,Yes,Yes,4.91
Stockholm,65.0,1951-2000,Lägenhet,Yes,Yes,1.83
Örebr,66.0,1951-2000,Lägenhet,Yes,Yes,1.79
Säffl,66.0,1951-2000,Lägenhet,No,Yes,0.12
Malm,41.0,1900-1950,Lägenhet,Yes,No,1.79
Sundbyberg,43.0,2011-present,Lägenhet,Yes,Yes,3.24
Stockholm,66.0,Before 1900s,Lägenhet,No,Yes,6.4
Soln,44.5,1951-2000,Lägenhet,Yes,No,2.36
Nack,87.0,2011-present,Lägenhet,Yes,Yes,4.95
Stockholm,56.0,1900-1950,Lägenhet,Yes,Yes,4.8
Göteborg,87.0,Before 1900s,Lägenhet,No,Yes,5.34
Stockholm,40.0,1900-1950,Lägenhet,No,Yes,2.36
UpplandsVäsb,74.0,1951-2000,Lägenhet,No,Yes,2.21
Stockholm,23.0,1900-1950,Lägenhet,Yes,Yes,2.43
Göteborg,57.0,2011-present,Lägenhet,Yes,Yes,2.24
Soln,53.5,2011-present,Lägenhet,Yes,Yes,2.92
Stockholm,48.0,1900-1950,Lägenhet,No,Yes,2.19
Katrineholm,85.0,1951-2000,Lägenhet,Yes,No,1.41
Göteborg,68.0,1951-2000,Lägenhet,Yes,Yes,2.4
Stockholm,70.0,1900-1950,Lägenhet,No,No,4.57
Malm,52.0,2011-present,Lägenhet,Yes,Yes,3.04
Västerå,55.0,1900-1950,Lägenhet,No,Yes,0.77
Göteborg,71.0,1900-1950,Lägenhet,Yes,Yes,4.16
Mark,25.5,1951-2000,Lägenhet,No,No,0.64
Stockholm,62.5,2001-2010,Lägenhet,Yes,Yes,4.77
Trollhättan,55.0,1951-2000,Lägenhet,No,Yes,0.99
Malm,53.5,1900-1950,Lägenhet,No,Yes,1.75
Sandviken,69.9,1951-2000,Lägenhet,No,Yes,1.19
Stockholm,80.0,2001-2010,Lägenhet,Yes,Yes,5.19
Sollentun,87.0,1951-2000,Lägenhet,Yes,Yes,2.3
Stockholm,51.0,1951-2000,Lägenhet,Yes,No,3.74
Göteborg,35.2,1900-1950,Lägenhet,No,No,2.32
Skar,67.0,1951-2000,Lägenhet,No,Yes,0.47
Malm,82.5,1951-2000,Lägenhet,No,Yes,1.7
Stockholm,39.1,1900-1950,Lägenhet,Yes,Yes,3.2
Gotland,63.0,1951-2000,Lägenhet,No,No,1.63
Stockholm,63.5,1951-2000,Lägenhet,Yes,Yes,3.64
Malm,64.0,1900-1950,Lägenhet,No,Yes,2.2
Eskilstun,71.5,1951-2000,Lägenhet,Yes,Yes,1.44
Stockholm,23.0,1900-1950,Lägenhet,Yes,Yes,2.34
Uppsal,67.1,1900-1950,Lägenhet,No,Yes,2.23
Uppsal,70.8,1951-2000,Lägenhet,No,Yes,2.59
Östersund,68.5,1951-2000,Lägenhet,No,Yes,1.69
Soln,58.0,2011-present,Lägenhet,Yes,Yes,3.09
Växj,104.0,2011-present,Lägenhet,No,Yes,3.34
Uppsal,57.5,1951-2000,Lägenhet,No,Yes,1.99
